Name,URL,Description,Component described,Open source,Ran successfully,Inputs,Outputs,Comments
Aladdin (2014),https://github.com/harvard-acc/ALADDIN,"Pre-RTL, power-performance simulator for fixed-function accelerators. There is also gem5 integration: https://github.com/harvard-acc/gem5-aladdin",,Yes,,,,
AMESTER (2016),https://github.com/open-power/amester,"Automated Measurement of Systems for Temperature and Energy Reporting (AMESTER): software tool to remotely collect power, thermal, and performance metrics from IBM servers. ",,Yes,No,,,
Bochs (1998),https://github.com/bochs-emu/Bochs/,Highly portable open source IA-32 (x86) PC emulator written in C++,x86 / CPU,Yes,,,,
BookSim (2013),https://github.com/booksim/booksim2,A cycle-accurate interconnection network simulator,Interconnect,Yes,No,,,"

"
CACTI (2017),https://github.com/HewlettPackard/cacti,A simulator that uses SPICE to precisely model interconnect power (referred to as I/O power) in the memory system,"3D Stacked Memory, Caches, Interconnect, Memories",Yes,Yes,"Cache size, Block size, Associativity, Read-write port, Exclusive read port, Exclusive write port, Single ended read ports, UCA bank count, Technology, Burst length, Internal prefetch width, Data array cell type, Data array peripheral type, Tag array cell type, Tag array peripheral type, Output/input bus width, Operating temperature, Cache type, Page size, Burst depth, IO width, System frequency, Stacked die count, Partitioning granularity, TSV projection, Tag size, Access mode, Design objective, Deviate (percentage deviation from minimum value), NUCAdesign objective, NUCAdeviate, Optimize (ED or ED^2), Cache model, NUCA bank count, Wire signaling, Wire inside mat, Wire outside mat, Interconnect projection, Core count, Cache level, Add ECC, Print level, Print input parameters, Force cache config, Ndwl, Ndbl, Nspd, Ndcm, Ndsam1, and Ndsam2.","Best Memory configurations: BoB cap, num_channels, bandwidth,  (MHz) cost, energy (nJ) ",
Cadence Spectre,https://www.cadence.com/en_US/home/tools/custom-ic-analog-rf-design/circuit-simulation.html,"SPICE-class circuit simulator. Provides basic SPICE analyses and component models, and Verilog.",Circuit,,,,,
CiMLoop (2024),https://github.com/mit-emze/cimloop,Full-stak CiM modeling tool described https://arxiv.org/pdf/2405.07259 (Accelergy/Timeloop),PIM systems,Yes,No,,,
DAMOV (2021),https://github.com/CMU-SAFARI/DAMOV,Benchmark suite and simulation framework based on ZSim and Ramulator,PIM systems,Yes,No,,,
DRAMPower (2022),https://github.com/tukl-msd/DRAMPower,An open source tool for fast and accurate DRAM power and energy estimation for DRAM memories.,DRAM,Yes,Yes,,,
DRAMsim3 (2019),https://github.com/umd-memsys/DRAMsim3,"Cycle-accurate, thermal-capable DRAM Simulator. Integrations with Gem5, SST, ZSim",DRAM,Yes,Yes,"[dram_structure]
protocol, bankgroups, banks_per_group, rows, columns, device_width, BL

[timing]
tCK, AL, CL, CWL, tRCD, tRP, tRAS, tRFC, tRFC2, tRFC4, tREFI, tRPRE, tWPRE, tRRD_S, tRRD_L, tWTR_S, tWTR_L, tFAW, tWR, tWR2, tRTP, tCCD_S, tCCD_L, tCKE, tCKESR, tXS, tXP, tRTRS

[power]
VDD, IDD0, IPP0, IDD2P, IDD2N, IDD3P, IDD3N, IDD4W, IDD4R, IDD5AB, IDD6x

[system]
channel_size, channels, bus_width, address_mapping, queue_structure, refresh_policy, row_buf_policy, cmd_queue_size, trans_queue_size

[thermal]
power_epoch_period, logic_bg_power, logic_max_power, chip_dim_x, chip_dim_y, amb_temp, mat_dim_x, mat_dim_y, bank_order, bank_layer_order

[other]
epoch_period, output_level","""Read request latency (cycles)"",
""Refresh energy"",
""Refresh-bank energy"",
""Write energy"",
""Read energy"",
""Activation energy"",
""SREF energy rank.0"",
""SREF energy rank.1"",
""Precharge standby energy rank.0"",
""Precharge standby energy rank.1"",
""Active standby energy rank.0"",
""Active standby energy rank.1"",
""Average read request latency (cycles)"",
""Average request interarrival latency (cycles)"",
""Total energy (pJ)"",
""Average power (mW)"",
""Average bandwidth""",
